Ticket,Open Time,Action,Size,Symbol,Open Price,Stop Loss,Take Profit,Close Time,Close Price,Commission,Exit Reason,PL,Raw Money Profit,Swap
131,2020-06-10 22:00:00,sell,0.033333333333333326,EURUSD,1.13752,1.14502,1.12252,2020-06-12 17:00:00,1.12252,-0.23,take_profit,49.79,50.0,0.02
132,2020-06-16 09:00:00,sell,0.033333333333333326,EURUSD,1.13363,1.14113,1.11863,2020-06-18 02:00:00,1.12354,-0.23,logic_regime_change,33.42,33.63,0.02
133,2020-06-19 16:00:00,sell,0.033333333333333326,EURUSD,1.11883,1.12633,1.10383,2020-06-19 18:00:00,1.11884,-0.23,logic_regime_change,-0.27,-0.03,0.0
134,2020-06-29 02:00:00,buy,0.033333333333333326,EURUSD,1.12347,1.11597,1.13847,2020-07-08 02:00:00,1.1272,-0.23,logic_regime_change,11.45,12.43,-0.75
135,2020-07-09 15:00:00,sell,0.033333333333333326,EURUSD,1.12954,1.13704,1.11454,2020-07-09 16:00:00,1.12977,-0.23,logic_regime_change,-1.0,-0.77,0.0
136,2020-07-17 02:00:00,sell,0.033333333333333326,EURUSD,1.13812,1.14562,1.12312,2020-07-20 06:00:00,1.14562,-0.23,catastrophic_stop_loss,-25.2,-25.0,0.03
137,2020-07-20 13:00:00,sell,0.033333333333333326,EURUSD,1.14183,1.14933,1.12683,2020-07-21 15:00:00,1.14933,-0.23,catastrophic_stop_loss,-25.22,-25.0,0.01
138,2020-07-22 07:00:00,sell,0.033333333333333326,EURUSD,1.15315,1.16065,1.13815,2020-07-23 14:00:00,1.16065,-0.23,catastrophic_stop_loss,-25.22,-25.0,0.01
139,2020-07-23 21:00:00,sell,0.033333333333333326,EURUSD,1.15914,1.16664,1.14414,2020-07-27 00:00:00,1.16664,-0.23,catastrophic_stop_loss,-25.19,-25.0,0.04
140,2020-07-27 20:00:00,sell,0.033333333333333326,EURUSD,1.17453,1.18203,1.15953,2020-07-28 02:00:00,1.17584,-0.23,logic_regime_change,-4.59,-4.37,0.01
